,年,月,url
0,2023,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040068709&fileKind=1
1,2023,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040078006&fileKind=1
2,2023,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040081221&fileKind=1
3,2022,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032213739&fileKind=1
4,2022,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032216762&fileKind=1
5,2022,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032218769&fileKind=1
6,2022,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032229250&fileKind=1
7,2022,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032238661&fileKind=1
8,2022,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032250757&fileKind=1
9,2022,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032257918&fileKind=1
10,2022,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032270449&fileKind=1
11,2022,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040009868&fileKind=1
12,2022,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040023285&fileKind=1
13,2022,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040036112&fileKind=1
14,2022,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040067346&fileKind=1
15,2021,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032101983&fileKind=1
16,2021,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032106441&fileKind=1
17,2021,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032109244&fileKind=1
18,2021,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032115380&fileKind=1
19,2021,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032121323&fileKind=1
20,2021,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032134647&fileKind=1
21,2021,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032144387&fileKind=1
22,2021,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032159270&fileKind=1
23,2021,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032163002&fileKind=1
24,2021,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032173144&fileKind=1
25,2021,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032183574&fileKind=1
26,2021,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032209400&fileKind=1
27,2020,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031958918&fileKind=0
28,2020,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031964708&fileKind=0
29,2020,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031968242&fileKind=0
30,2020,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031975460&fileKind=0
31,2020,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031984521&fileKind=0
32,2020,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032014453&fileKind=0
33,2020,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032028617&fileKind=0
34,2020,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032040955&fileKind=4
35,2020,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032046895&fileKind=1
36,2020,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032061104&fileKind=1
37,2020,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032070161&fileKind=1
38,2020,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032100076&fileKind=1
39,2019,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031842399&fileKind=0
40,2019,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031843701&fileKind=0
41,2019,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031849167&fileKind=0
42,2019,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031857436&fileKind=0
43,2019,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031867400&fileKind=0
44,2019,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031875119&fileKind=0
45,2019,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031886415&fileKind=0
46,2019,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031898853&fileKind=0
47,2019,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031905615&fileKind=0
48,2019,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031913879&fileKind=0
49,2019,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031926203&fileKind=0
50,2019,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031956642&fileKind=0
51,2018,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031735867&fileKind=0
52,2018,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031737336&fileKind=0
53,2018,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031740755&fileKind=0
54,2018,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031750793&fileKind=0
55,2018,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031757188&fileKind=0
56,2018,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031762821&fileKind=0
57,2018,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031769147&fileKind=0
58,2018,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031782941&fileKind=0
59,2018,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031791182&fileKind=0
60,2018,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031802931&fileKind=0
61,2018,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031816781&fileKind=0
62,2018,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031839133&fileKind=0
63,2017,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031596050&fileKind=0
64,2017,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031598015&fileKind=0
65,2017,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031602935&fileKind=0
66,2017,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031616917&fileKind=0
67,2017,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031627035&fileKind=0
68,2017,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031637655&fileKind=0
69,2017,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031645051&fileKind=0
70,2017,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031657588&fileKind=0
71,2017,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031669855&fileKind=0
72,2017,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031676175&fileKind=0
73,2017,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031685202&fileKind=0
74,2017,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031730100&fileKind=0
75,2016,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031428463&fileKind=0
76,2016,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031430303&fileKind=0
77,2016,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031436555&fileKind=0
78,2016,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031448115&fileKind=0
79,2016,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031457795&fileKind=0
80,2016,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031474335&fileKind=0
81,2016,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031500436&fileKind=0
82,2016,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031517215&fileKind=0
83,2016,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031528176&fileKind=0
84,2016,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031547644&fileKind=0
85,2016,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031557515&fileKind=0
86,2016,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031591735&fileKind=0
87,2015,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030434808&fileKind=0
88,2015,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030561433&fileKind=0
89,2015,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030762852&fileKind=0
90,2015,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031255325&fileKind=0
91,2015,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031318433&fileKind=0
92,2015,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031325501&fileKind=0
93,2015,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031340878&fileKind=0
94,2015,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031356638&fileKind=0
95,2015,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031361259&fileKind=0
96,2015,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031375361&fileKind=0
97,2015,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031398361&fileKind=0
98,2015,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031427081&fileKind=0
99,2014,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000025961688&fileKind=0
100,2014,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000026222792&fileKind=0
101,2014,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000026510058&fileKind=0
102,2014,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027229335&fileKind=0
103,2014,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027234992&fileKind=0
104,2014,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027242261&fileKind=0
105,2014,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027248843&fileKind=0
106,2014,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027669845&fileKind=0
107,2014,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000028092917&fileKind=0
108,2014,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000028563281&fileKind=0
109,2014,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000028978113&fileKind=0
110,2014,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030268330&fileKind=0
111,2013,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021424709&fileKind=0
112,2013,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021723769&fileKind=0
113,2013,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021831378&fileKind=0
114,2013,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000022091983&fileKind=0
115,2013,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023342064&fileKind=0
116,2013,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023600023&fileKind=0
117,2013,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023603723&fileKind=0
