日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-02-10, 北海道,,1048,475,２／３,1827,0.25998905309250137,1827,11,２／３,161,0.06832298136645963,161,254,２／２,1835,0.13841961852861034,1835,229,90,0
2021-02-10, 青森県,,43,30,１／４,209,0.14354066985645933,225,1,１／４,31,0.03225806451612903,30,9,１／４,190,0.04736842105263158,100,1,0,3
2021-02-10, 岩手県,,21,19,２／３,385,0.04935064935064935,350,1,２／３,60,0.016666666666666666,45,2,２／３,381,0.005249343832020997,300,0,0,0
2021-02-10, 宮城県 ,,107,60,４／５,345,0.17391304347826086,450,7,４／５,43,0.16279069767441862,65,32,４／５,500,0.064,500,15,0,0
2021-02-10, 秋田県 ,,34,34,３／４,229,0.14847161572052403,235,0,３／４,24,0,27,0,３／４,70,0,69,0,0,0
2021-02-10, 山形県 ,,41,39,３／４,216,0.18055555555555555,215,0,３／４,26,0,26,0,３／４,134,0,134,2,0,0
2021-02-10, 福島県 ,,134,130,４／４,469,0.2771855010660981,350,8,４／４,42,0.19047619047619047,50,1,４／４,220,0.004545454545454545,160,1,0,2
2021-02-10, 茨城県 ,,461,218,３／３,600,0.36333333333333334,600,16,３／３,70,0.22857142857142856,70,94,４／４,324,0.29012345679012347,324,135,14,0
2021-02-10, 栃木県,,240,128,３／４,377,0.3395225464190981,377,12,３／４,46,0.2608695652173913,46,33,３／４,638,0.05172413793103448,638,0,60,19
2021-02-10, 群馬県,,341,157,３／３,341,0.4604105571847507,330,10,３／３,71,0.14084507042253522,50,145,３／３,1300,0.11153846153846154,1300,0,0,39
2021-02-10, 埼玉県 ,,3156,909,４／４,1321,0.688115064345193,1400,52,４／４,142,0.36619718309859156,200,329,３／３,1347,0.24424647364513735,1450,1745,0,173
2021-02-10, 千葉県 ,,3659,815,４／４,1154,0.7062391681109186,1200,44,４／４,93,0.4731182795698925,180,248,４／４,968,0.256198347107438,1400,2427,0,169
2021-02-10, 東京都 ,,5818,2595,４／４,4900,0.5295918367346939,4000,注８　498,４／４,注８　500,注8　100%,500,527,４／４,3290,0.1601823708206687,3000,1191,115,1390
2021-02-10, 神奈川県,,1727,682,２／３,1555,0.43858520900321546,1555,55,２／３,190,0.2894736842105263,190,173,２／２,1535,0.11270358306188925,1000,872,0,0
2021-02-10, 新潟県,,77,68,２／３,456,0.14912280701754385,456,2,２／３,112,0.017857142857142856,112,9,１／３,176,0.05113636363636364,176,0,0,0
2021-02-10, 富山県 ,,18,17,２／４,500,0.034,500,3,２／４,36,0.08333333333333333,36,1,２／４,377,0.002652519893899204,100,0,0,0
2021-02-10, 石川県,,136,97,２／２,258,0.375968992248062,254,0,２／２,35,0,35,39,２／２,340,0.11470588235294117,340,0,0,0
2021-02-10, 福井県 ,,42,42,３／４,255,0.16470588235294117,255,2,３／４,24,0.08333333333333333,24,0,１／４,75,0,75,0,0,0
2021-02-10, 山梨県 ,,19,19,２／４,285,0.06666666666666667,250,2,２／４,24,0.08333333333333333,24,0,２／４,139,0,100,0,0,0
2021-02-10, 長野県 ,,80,61,４／４,434,0.14055299539170507,434,1,４／４,49,0.02040816326530612,49,11,４／４,375,0.029333333333333333,375,8,0,0
2021-02-10, 岐阜県 ,,335,248,３／３,694,0.3573487031700288,694,12,３／３,59,0.2033898305084746,59,60,３／３,603,0.09950248756218906,603,0,6,21
2021-02-10, 静岡県,,241,97,４／４,466,0.20815450643776823,450,2,４／４,40,0.05,67,33,４／４,592,0.05574324324324324,450,111,0,0
2021-02-10, 愛知県,,1499,537,４／４,1215,0.4419753086419753,839,45,４／４,126,0.35714285714285715,121,114,４／４,1300,0.0876923076923077,1300,764,0,84
2021-02-10, 三重県 ,,256,200,３／３,373,0.5361930294906166,373,13,３／３,53,0.24528301886792453,53,8,３／３,100,0.08,100,48,0,0
2021-02-10, 滋賀県,,184,121,３／３,349,0.3467048710601719,349,15,３／３,47,0.3191489361702128,62,40,３／３,403,0.09925558312655088,420,22,0,1
2021-02-10, 京都府 ,,821,173,３／３,416,0.41586538461538464,416,19,３／３,86,0.22093023255813954,86,46,３／３,826,0.05569007263922518,826,602,0,0
2021-02-10, 大阪府 ,,3072,997,４／４,1948,0.5118069815195072,1615,216,４／４,421,0.5130641330166271,215,426,３／３,2416,0.1763245033112583,1036,885,0,764
2021-02-10, 兵庫県 ,,990,465,６／６,839,0.5542312276519666,750,68,６／６,116,0.5862068965517241,120,184,６／６,1130,0.16283185840707964,1000,0,0,341
2021-02-10, 奈良県 ,,203,132,３／３,370,0.3567567567567568,500,7,３／３,27,0.25925925925925924,25,46,３／３,254,0.18110236220472442,250,0,0,25
2021-02-10, 和歌山県 ,,61,61,３／４,400,0.1525,400,1,３／４,40,0.025,40,0,３／４,137,0,137,0,0,0
2021-02-10, 鳥取県,,18,18,２／３,313,0.05750798722044728,300,1,２／３,47,0.02127659574468085,40,0,１／３,340,0,150,0,0,0
2021-02-10, 島根県,,14,14,２／５,253,0.05533596837944664,253,0,２／５,25,0,25,0,２／５,98,0,98,0,0,0
2021-02-10, 岡山県,,96,63,２／４,401,0.1571072319201995,250,5,２／４,37,0.13513513513513514,40,18,２／４,207,0.08695652173913043,180,8,7,0
2021-02-10, 広島県,,159,113,３／３,477,0.23689727463312368,500,8,３／３,36,0.2222222222222222,70,34,３／３,1038,0.03275529865125241,1400,11,1,0
2021-02-10, 山口県,,175,100,３／３,475,0.21052631578947367,475,0,３／３,124,0,137,75,１／３,834,0.08992805755395683,834,0,0,0
2021-02-10, 徳島県,,30,30,２／４,200,0.15,200,3,２／４,25,0.12,25,0,２／４,180,0,180,0,0,0
2021-02-10, 香川県,,86,58,３／３,199,0.2914572864321608,199,1,３／３,26,0.038461538461538464,26,24,３／３,101,0.2376237623762376,101,0,1,3
2021-02-10, 愛媛県 ,,68,33,３／３,270,0.12222222222222222,223,1,３／３,33,0.030303030303030304,33,7,３／３,192,0.036458333333333336,117,8,20,0
2021-02-10, 高知県 ,,15,9,３／４,200,0.045,200,1,３／４,58,0.017241379310344827,57,5,３／４,203,0.024630541871921183,190,1,0,0
2021-02-10, 福岡県,,1594,505,３／３,732,0.6898907103825137,760,38,３／３,110,0.34545454545454546,110,273,３／３,1387,0.19682768565248737,1200,729,87,0
2021-02-10, 佐賀県 ,,56,35,４／４,328,0.10670731707317073,328,1,４／４,46,0.021739130434782608,46,18,１／４,377,0.04774535809018567,377,0,0,3
2021-02-10, 長崎県,,154,92,４／４,424,0.2169811320754717,421,2,４／４,38,0.05263157894736842,42,7,４／４,384,0.018229166666666668,384,55,0,0
2021-02-10, 熊本県,,115,102,３／３,440,0.2318181818181818,420,15,３／３,59,0.2542372881355932,59,7,３／３,230,0.030434782608695653,140,6,0,0
2021-02-10, 大分県,,114,74,２／４,367,0.2016348773841962,367,0,２／４,43,0,43,30,１／２,700,0.04285714285714286,170,10,0,0
2021-02-10, 宮崎県,,104,41,３／３,274,0.14963503649635038,274,3,３／３,33,0.09090909090909091,33,26,３／３,250,0.104,250,37,0,0
2021-02-10, 鹿児島県 ,,84,62,３／４,357,0.17366946778711484,300,3,３／４,38,0.07894736842105263,48,20,３／４,577,0.03466204506065858,370,2,0,0
2021-02-10, 沖縄県,,533,350,５／５,473,0.7399577167019028,425,27,５／５,53,0.5094339622641509,51,85,５／５,440,0.19318181818181818,340,80,18,0
2021-02-10,合計,,28279,11325,,29369,,27544,1232,,3625,,3653,3493,,29513,,25979,10005,419,3037
