日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者,重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注７),確保居室数（注８）,確保居室使用率（注９）,（４）①-1自宅療養者等数,（４）①-2うち、社会福祉施設等療養者数,（５）①-1療養先調整中の人数（注10）,（５）①-2うち、入院先調整中の人数(注11)
2021-09-15, 北海道,1533,526,526,３／３,1994,1994,26,34,26,26,３／３,143,143,18,231,２／２,2370,2370,10,610,0,166,1
2021-09-15, 青森県,485,112,112,４／４,324,328,34,23,9,9,４／４,31,31,29,78,４／４,320,320,24,249,0,46,0
2021-09-15, 岩手県,174,101,101,３／３,350,351,29,58,0,0,３／３,45,45,0,69,３／３,300,511,14,0,0,4,4
2021-09-15, 宮城県 ,588,145,145,５／５,496,496,29,25,16,16,５／５,54,54,30,264,５／５,1200,1200,22,130,0,49,0
2021-09-15, 秋田県 ,101,20,20,６／６,273,273,7,20,2,2,６／６,22,22,9,74,６／６,304,304,24,1,1,6,2
2021-09-15, 山形県 ,167,86,86,４／４,237,237,36,51,3,3,４／４,26,26,12,21,４／４,134,134,16,51,0,9,0
2021-09-15, 福島県 ,306,206,206,４／４,637,637,32,67,6,6,４／４,45,49,12,37,４／４,503,503,7,52,0,11,3
2021-09-15, 茨城県 ,1085,299,299,４／４,791,791,38,28,25,25,４／４,70,70,36,201,７／８,1020,1170,17,585,2,0,0
2021-09-15, 栃木県,764,191,191,３／３,477,477,40,25,14,14,３／３,46,46,30,161,３／３,557,725,22,377,7,35,0
2021-09-15, 群馬県,629,197,197,４／４,503,503,39,31,21,21,４／４,76,76,28,214,４／４,1319,1747,12,140,0,78,0
2021-09-15, 埼玉県 ,8297,1150,1149,４／４,1877,1877,61,14,113,113,４／４,236,236,48,640,４／４,1925,2523,25,4850,0,1657,0
2021-09-15, 千葉県 ,6432,785,783,３／３,1461,1487,53,12,84,84,３／３,148,154,55,344,３／３,1012,1012,34,4806,0,497,2
2021-09-15, 東京都 ,12190,3083,3059,４／４,6583,6583,46,25,919,918,４／４,1207,1207,76,1381,４／４,3310,3310,42,5970,11,1756,67
2021-09-15, 神奈川県,5935,1258,1258,４／４,2231,2231,56,21,161,161,４／４,292,292,55,321,１／１,2428,2428,13,4275,5,81,0
2021-09-15, 新潟県,426,166,166,２／３,555,555,30,39,8,8,２／３,112,112,7,36,２／３,300,300,12,220,0,4,4
2021-09-15, 富山県 ,165,98,98,３／４,442,500,20,59,5,5,３／４,36,36,14,11,３／４,500,500,2,56,1,0,0
2021-09-15, 石川県,258,95,95,３／３,413,435,22,37,3,3,３／３,39,39,8,59,３／３,560,560,11,85,0,19,0
2021-09-15, 福井県 ,157,134,134,５／５,324,324,41,85,0,0,５／５,24,24,0,23,５／５,146,146,16,0,0,0,0
2021-09-15, 山梨県 ,245,144,144,４／４,367,367,39,59,1,1,４／４,24,24,4,97,４／４,673,673,14,4,2,0,0
2021-09-15, 長野県 ,282,96,96,２／３,353,529,18,34,2,2,２／３,34,43,5,89,２／３,806,806,11,93,0,4,0
2021-09-15, 岐阜県 ,1023,340,340,３／３,817,817,42,33,17,17,３／３,59,59,29,484,３／３,1328,1377,35,34,0,165,0
2021-09-15, 静岡県,1507,258,244,５／５,755,755,32,17,20,20,５／５,62,62,32,163,５／５,735,735,22,968,11,118,0
2021-09-15, 愛知県,14002,935,911,４／４,1722,1722,53,7,80,80,４／４,183,183,44,737,４／４,1514,1577,47,11760,47,570,2
2021-09-15, 三重県 ,803,239,239,３／３,513,521,46,30,22,22,３／３,61,61,36,86,３／３,259,259,33,478,5,0,0
2021-09-15, 滋賀県,660,206,206,４／４,388,390,53,31,8,8,４／４,52,52,15,152,４／４,677,677,22,294,0,8,0
2021-09-15, 京都府 ,1860,353,353,３／３,708,738,48,19,74,74,３／３,161,161,46,367,３／３,1126,1126,33,1133,0,7,7
2021-09-15, 大阪府 ,15603,2017,2017,５／５,3149,3335,60,13,531,531,４／５,1087,1273,42,2742,６／６,7091,7091,39,9997,0,847,0
2021-09-15, 兵庫県 ,4553,761,761,６／６,1357,1357,56,17,66,66,６／６,142,142,46,705,６／６,1863,1863,38,2712,0,375,219
