日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2021-12-22, 北海道,84,27,27,0,１／３,1211,2028,0,1,32,0,0,0,１／３,87,134,0,0,15,0,１／３,1450,2500,0,1,0,１／３,14,56,0,32,0,10,0
2021-12-22, 青森県,0,0,0,0,１／５,362,396,0,0,－,0,0,0,１／５,31,31,0,0,0,0,１／５,700,700,0,0,0,－,0,0,－,0,0,0,0
2021-12-22, 岩手県,0,0,0,0,１／２,203,301,0,0,－,0,0,0,１／２,29,31,0,0,0,0,１／２,100,280,0,0,0,－,0,0,－,0,0,0,0
2021-12-22, 宮城県 ,2,2,2,0,Ⅰ／Ⅰ,510,510,0,0,100,0,0,0,Ⅰ／Ⅰ,55,55,0,0,0,0,Ⅰ／Ⅰ,1250,1250,0,0,0,－,0,0,－,0,0,0,0
2021-12-22, 秋田県 ,0,0,0,0,３／６,140,289,0,0,－,0,0,0,３／６,10,24,0,0,0,0,３／６,395,395,0,0,0,－,0,0,－,0,0,0,0
2021-12-22, 山形県 ,2,2,2,0,２／４,183,237,0,1,100,0,0,0,２／４,26,26,0,0,0,0,２／４,348,348,0,0,0,２／４,0,0,－,0,0,0,0
2021-12-22, 福島県 ,0,0,0,0,２／３,646,709,0,0,－,0,0,0,２／３,40,47,0,0,0,0,２／３,300,480,0,0,0,２／３,0,21,0,0,0,0,0
2021-12-22, 茨城県 ,12,2,2,0,１／４,300,607,21,0,17,1,1,0,１／４,30,72,0,1,10,0,３／５,1020,2600,0,0,0,１／４,21,21,0,0,0,0,0
2021-12-22, 栃木県,18,7,7,0,１／３,360,633,100,1,39,0,0,0,１／３,22,46,0,0,2,0,１／３,665,1065,0,0,0,１／３,0,100,0,2,0,7,0
2021-12-22, 群馬県,181,63,63,0,２／４,357,558,0,11,35,1,1,0,２／４,22,37,0,3,84,0,３／６,531,1727,0,5,0,－,0,0,－,25,0,9,9
2021-12-22, 埼玉県 ,73,35,35,0,２／４,990,1715,0,2,48,2,2,0,２／４,124,198,0,1,17,0,４／４,1925,1986,8,1,0,１／６,8,8,0,14,0,7,0
2021-12-22, 千葉県 ,57,28,28,0,１／２,939,1457,158,2,49,0,0,0,１／２,78,124,0,0,8,0,１／２,1843,1843,3,0,0,１／２,0,161,0,19,0,2,0
2021-12-22, 東京都 ,296,155,155,0,１／３,4669,6919,80,2,52,37,37,0,１／３,1468,1468,0,3,48,0,１／３,3480,7966,90,1,2,１／３,110,936,0,49,2,42,2
2021-12-22, 神奈川県,173,62,62,1,１／４,998,2100,143,3,36,1,1,0,１／４,92,210,0,0,14,0,１／１,2076,2076,0,1,1,１／４,39,143,1,97,0,0,0
2021-12-22, 新潟県,87,18,18,0,１／４,351,653,0,3,21,0,0,0,１／４,39,112,0,0,4,0,１／３,300,340,0,1,0,１／３,0,10,0,65,0,0,0
2021-12-22, 富山県 ,0,0,0,0,１／３,111,481,0,0,－,0,0,0,１／３,12,36,0,0,0,0,１／３,625,625,0,0,0,１／３,0,0,－,0,0,0,0
