日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数（注15）,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注16）,（６）①-2うち、入院先調整中の人数(注17）
2022-09-28, 北海道,17692,591,510,0,３／３,2258,2258,0,23,3,2,2,0,３／３,138,138,0,1,137,0,２／３,2085,2215,0,6,0,２／３,56,56,0,16680,0,284,0
2022-09-28, 青森県,2826,159,136,0,３／５,472,484,0,28,6,2,2,0,１／５,31,31,0,6,28,0,３／５,660,660,0,4,0,－,0,0,－,2639,0,0,0
2022-09-28, 岩手県,2960,66,66,0,２／２,343,343,0,19,2,1,1,0,２／２,31,34,0,3,27,0,２／２,280,280,0,10,0,－,0,0,－,2867,0,0,0
2022-09-28, 宮城県 ,5871,291,107,0,Ⅰ／Ⅰ,597,597,0,18,5,3,3,0,Ⅰ／Ⅰ,55,55,0,5,245,0,Ⅰ／Ⅰ,2090,2090,0,12,0,－,0,0,－,5096,0,239,0
2022-09-28, 秋田県 ,4041,245,101,0,６／６,321,321,0,31,6,1,1,0,６／６,24,24,0,4,52,0,６／６,415,415,0,13,0,－,0,0,－,3523,214,221,0
2022-09-28, 山形県 ,3668,186,80,0,Ⅰ／Ⅱ,289,289,0,28,5,0,0,0,Ⅰ／Ⅱ,26,26,0,0,24,0,Ⅰ／Ⅱ,348,348,0,7,0,Ⅰ／Ⅱ,0,0,－,3458,0,0,0
2022-09-28, 福島県 ,5223,175,173,0,３／３,757,769,8,22,3,0,0,0,３／３,45,45,0,0,124,0,３／３,1547,1547,0,8,0,３／３,19,27,0,4924,12,0,0
2022-09-28, 茨城県 ,7413,280,280,0,４／４,600,609,0,46,4,3,3,0,１／４,30,72,0,4,275,0,４／５,1614,2689,0,10,0,－,0,0,－,6858,0,0,0
2022-09-28, 栃木県,4013,151,151,3,３／３,578,680,102,22,4,2,2,0,３／３,46,46,0,4,68,0,２／３,755,1050,0,6,3,３／３,102,102,3,3794,0,0,0
2022-09-28, 群馬県,5279,199,174,0,３／４,591,675,0,26,4,2,2,0,１／４,13,37,0,5,254,0,６／６,1508,1727,0,15,0,３／４,6,6,0,4724,228,102,4
2022-09-28, 埼玉県 ,22625,618,575,0,４／４,1804,1922,130,30,3,11,11,0,１／４,73,191,0,6,176,0,４／４,1747,1986,8,9,2,４／４,160,160,1,21451,0,378,0
2022-09-28, 千葉県 ,18783,682,399,10,２／２,1568,1841,224,22,4,4,4,0,２／２,121,133,0,3,194,0,２／２,1758,1956,3,10,10,２／２,187,227,4,17907,0,0,0
2022-09-28, 東京都 ,43775,1654,1593,135,２／２,6737,7496,579,21,4,269,269,0,１／２,930,1047,0,26,1241,45,２／２,9300,9300,550,13,237,２／２,1986,2056,12,27144,186,13679,50
2022-09-28, 神奈川県,23463,619,619,11,２／４,1790,2100,143,29,3,25,25,0,１／４,118,210,0,12,118,0,１／１,2451,2451,0,5,11,２／４,11,143,8,22710,307,16,0
2022-09-28, 新潟県,5491,127,127,0,３／４,601,688,0,18,2,0,0,0,３／４,112,112,0,0,36,0,３／３,357,357,0,10,0,３／３,10,10,0,5328,170,0,0
2022-09-28, 富山県 ,3005,103,100,0,２／３,272,481,0,21,3,0,0,0,２／３,14,36,0,0,48,0,２／３,510,510,0,9,0,２／３,0,0,－,2854,0,0,0
2022-09-28, 石川県,4058,122,122,0,Ⅰ／Ⅱ,413,413,0,30,3,1,1,0,Ⅰ／Ⅱ,37,37,0,3,25,0,Ⅰ／Ⅱ,630,630,0,4,0,Ⅰ／Ⅱ,0,0,－,3911,0,0,0
2022-09-28, 福井県 ,1882,71,71,0,４／４,389,503,100,14,4,0,0,0,４／４,24,24,0,0,64,0,２／４,425,575,0,11,0,４／４,0,100,0,1747,0,0,0
2022-09-28, 山梨県 ,1786,43,43,0,２／５,195,438,0,10,2,0,0,0,２／５,13,24,0,0,70,35,２／５,1135,1135,639,6,35,２／５,639,639,5,1643,44,30,0
2022-09-28, 長野県 ,5754,121,109,0,２／３,522,531,0,21,2,1,1,0,２／３,39,43,0,2,54,0,２／３,735,735,0,7,0,－,0,0,－,5579,70,0,0
2022-09-28, 岐阜県 ,4992,199,175,0,２／４,635,914,0,19,4,0,0,0,２／４,59,59,0,0,172,0,３／３,1932,1932,4,9,0,３／３,4,4,0,4554,354,67,10
2022-09-28, 静岡県,5689,266,187,0,３／３,862,862,0,22,5,3,3,0,３／３,58,58,0,5,44,0,３／３,894,894,0,5,0,３／３,0,75,0,5379,0,0,0
2022-09-28, 愛知県,24014,996,529,0,２／２,1756,1756,0,30,4,9,9,0,２／２,172,172,0,5,182,0,２／２,2737,2737,0,7,0,２／２,0,0,－,22332,0,504,0
2022-09-28, 三重県 ,6275,163,155,0,Ⅱ／Ⅲ,563,586,10,26,3,3,3,0,Ⅱ／Ⅲ,52,52,0,6,27,0,３／３,496,496,0,5,0,Ⅱ／Ⅲ,0,10,0,6085,70,0,0
2022-09-28, 滋賀県,5294,327,134,5,Ⅰ／Ⅰ,509,511,30,26,6,1,1,0,Ⅰ／Ⅰ,52,52,0,2,43,0,Ⅰ／Ⅰ,631,631,0,7,5,Ⅰ／Ⅰ,30,30,17,4921,60,3,0
2022-09-28, 京都府 ,7154,175,175,0,２／２,1033,1033,110,17,2,18,18,0,２／２,175,175,0,10,90,0,１／１,1126,1126,0,8,0,２／２,110,110,0,6889,0,0,0
2022-09-28, 大阪府 ,32858,1112,1101,0,４／５,3567,4740,0,23,3,282,282,0,２／５,1235,1544,0,18,967,35,５／７,6389,9480,188,10,35,Ⅰ／Ⅰ,196,226,15,30779,0,0,0
2022-09-28, 兵庫県 ,11624,390,390,0,５／５,1712,1712,0,23,3,7,7,0,５／５,142,142,0,5,91,0,５／５,2411,2411,0,4,0,－,0,0,－,11143,0,0,0
2022-09-28, 奈良県 ,4584,117,101,0,２／３,422,555,0,18,3,4,4,0,２／３,27,36,0,11,41,0,２／３,969,969,0,4,0,２／３,0,0,－,4426,0,0,0
2022-09-28, 和歌山県 ,3293,192,192,0,３／３,545,545,0,35,6,1,1,0,３／３,26,26,0,4,26,0,３／３,178,178,0,15,0,３／３,178,181,0,3075,0,0,0
2022-09-28, 鳥取県,1576,82,82,0,３／３,285,351,5,23,5,1,1,0,３／３,30,47,0,2,14,0,２／２,448,448,0,3,0,１／１,5,5,0,1480,0,0,0
2022-09-28, 島根県,2031,63,52,0,５／５,361,371,0,14,3,0,0,0,５／５,5,28,0,0,10,0,５／５,133,133,0,8,0,－,0,0,－,1833,0,125,0
