死因,年,月,年月日,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不詳,合計
総数,2011,1,2011-01-01,309,41,43,123,207,287,368,638,940,1291,2024,3406,6611,7774,10498,16307,21836,22008,15954,7849,1845,350,166,494,1006,2231,5430,14385,26805,69492,32,120391
Se01 結核,2011,1,2011-01-01,0,0,0,0,0,1,1,0,2,1,2,7,9,9,10,30,43,61,28,6,0,0,0,1,1,3,9,18,40,138,0,210
Se02 悪性新生物＜腫瘍＞,2011,1,2011-01-01,9,7,8,19,16,25,69,150,238,382,734,1362,2901,3343,3947,5193,5509,4008,1929,648,59,16,27,41,219,620,2096,6244,9140,12153,0,30556
Se03 食道の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,0,0,3,2,7,29,56,160,159,177,147,147,73,27,6,0,0,0,0,3,9,85,319,324,253,0,993
Se04 胃の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,1,4,7,20,28,35,107,168,354,466,553,751,742,580,314,119,10,0,0,5,27,63,275,820,1304,1765,0,4259
Se05 結腸の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,1,0,1,4,12,17,27,51,109,222,266,310,440,468,413,234,85,5,0,1,1,16,44,160,488,750,1205,0,2665
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,0,1,7,16,15,37,88,172,162,173,174,166,141,74,25,2,0,0,0,8,31,125,334,347,408,0,1253
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2011,1,2011-01-01,2,0,0,0,1,2,5,3,9,19,50,127,286,319,433,603,524,293,119,26,1,2,0,3,8,28,177,605,1036,963,0,2822
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,1,2,2,1,6,21,45,94,120,158,289,325,261,161,66,5,0,0,1,4,7,66,214,447,818,0,1557
Se09 膵の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,0,1,1,14,29,55,121,273,296,322,441,407,311,118,36,6,0,0,0,2,43,176,569,763,878,0,2431
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,1,4,18,31,46,109,194,561,699,816,1085,1201,817,330,105,5,0,0,1,22,77,303,1260,1901,2458,0,6022
Se11 乳房の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,1,6,22,36,65,75,138,157,130,96,90,98,67,45,17,8,0,0,1,28,101,213,287,186,235,0,1051
Se12 子宮の悪性新生物＜腫瘍＞,2011,1,2011-01-01,0,0,0,0,0,0,6,12,22,37,30,44,64,54,53,53,81,57,23,7,3,0,0,0,18,59,74,118,106,171,0,546
Se13 白血病,2011,1,2011-01-01,2,2,3,4,7,5,6,9,7,15,12,30,60,78,93,116,133,67,22,6,3,4,7,12,15,22,42,138,209,231,0,680
Se14 糖尿病,2011,1,2011-01-01,0,0,0,0,0,1,1,7,15,22,31,63,119,121,162,276,296,250,138,59,7,0,0,1,8,37,94,240,438,750,0,1568
Se15 高血圧性疾患,2011,1,2011-01-01,0,0,0,0,0,0,0,0,0,3,7,6,22,27,44,77,137,187,176,102,26,0,0,0,0,3,13,49,121,628,0,814
Se16 心疾患（高血圧性を除く）,2011,1,2011-01-01,12,4,2,10,11,19,30,74,134,193,325,520,1005,1273,1701,2851,4138,4609,3505,1661,376,16,12,30,104,327,845,2278,4552,14289,5,22458
Se17 急性心筋梗塞,2011,1,2011-01-01,0,0,0,0,0,3,7,13,29,49,96,156,314,390,503,825,1031,989,606,216,38,0,0,3,20,78,252,704,1328,2880,0,5265
Se18 その他の虚血性心疾患,2011,1,2011-01-01,0,0,2,0,1,3,2,12,33,45,81,128,250,316,399,614,801,773,487,174,36,0,2,4,14,78,209,566,1013,2271,2,4159
Se19 不整脈及び伝導障害,2011,1,2011-01-01,3,0,0,3,4,6,10,22,28,36,60,89,157,191,272,394,608,673,463,211,32,3,3,10,32,64,149,348,666,1987,0,3262
Se20 心不全,2011,1,2011-01-01,1,0,0,4,3,5,7,17,30,39,54,93,184,266,366,747,1290,1691,1609,914,250,1,4,8,24,69,147,450,1113,5754,2,7572
Se21 脳血管疾患,2011,1,2011-01-01,0,0,2,1,0,6,12,50,77,121,195,307,551,650,952,1623,2367,2553,1883,886,172,0,3,6,62,198,502,1201,2575,7861,0,12408
Se22 くも膜下出血,2011,1,2011-01-01,0,0,1,0,0,2,4,31,40,60,82,93,129,113,137,200,193,198,72,27,5,0,1,2,35,100,175,242,337,495,0,1387
Se23 脳内出血,2011,1,2011-01-01,0,0,0,0,0,4,7,17,29,50,85,159,280,279,384,487,683,563,324,90,18,0,0,4,24,79,244,559,871,1678,0,3459
Se24 脳梗塞,2011,1,2011-01-01,0,0,0,1,0,0,1,1,7,7,19,44,120,226,402,892,1425,1735,1446,737,142,0,1,0,2,14,63,346,1294,5485,0,7205
Se25 大動脈瘤及び解離,2011,1,2011-01-01,0,0,0,0,0,0,1,7,6,15,29,44,83,123,166,265,342,318,188,73,9,0,0,0,8,21,73,206,431,930,0,1669
Se26 肺炎,2011,1,2011-01-01,11,4,3,2,3,14,13,11,22,25,53,115,240,359,732,1417,2576,3046,2565,1263,303,15,5,17,24,47,168,599,2149,9753,3,12780
Se27 慢性閉塞性肺疾患,2011,1,2011-01-01,0,0,0,0,0,0,0,0,0,0,5,9,24,49,114,270,421,425,211,71,14,0,0,0,0,0,14,73,384,1142,0,1613
Se28 喘息,2011,1,2011-01-01,0,0,0,0,1,0,0,0,2,0,3,3,9,12,14,29,44,60,51,20,1,0,0,1,0,2,6,21,43,176,0,249
Se29 肝疾患,2011,1,2011-01-01,3,0,0,0,0,1,4,16,41,59,87,147,193,200,194,215,183,132,53,20,3,3,0,1,20,100,234,393,409,391,1,1552
Se30 腎不全,2011,1,2011-01-01,0,0,0,1,0,1,1,2,0,2,11,16,54,104,146,324,476,569,412,204,36,0,1,1,3,2,27,158,470,1697,0,2359
Se31 老衰,2011,1,2011-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,7,21,120,421,975,1511,1308,520,0,0,0,0,0,1,7,141,4735,0,4884
Se32 不慮の事故,2011,1,2011-01-01,12,6,4,27,32,50,42,41,66,92,103,154,266,298,450,708,938,769,455,163,26,18,31,82,83,158,257,564,1158,2351,7,4709
Se33 交通事故,2011,1,2011-01-01,1,3,0,21,18,19,19,12,17,17,28,46,44,33,56,61,57,38,20,1,0,4,21,37,31,34,74,77,117,116,0,511
Se34 自殺,2011,1,2011-01-01,0,0,7,37,101,118,132,171,181,173,189,212,225,147,142,103,66,48,21,4,0,0,44,219,303,354,401,372,245,139,7,2084
総数,2011,2,2011-02-01,266,42,30,101,178,215,390,604,738,1179,1720,3014,5591,6587,9097,13828,18193,18219,13261,6572,1606,308,131,393,994,1917,4734,12178,22925,57851,27,101458
Se01 結核,2011,2,2011-02-01,0,0,0,0,0,0,0,0,1,0,2,5,5,10,10,24,35,44,16,12,1,0,0,0,0,1,7,15,34,108,1,166
Se02 悪性新生物＜腫瘍＞,2011,2,2011-02-01,6,9,5,13,11,24,70,127,179,363,630,1271,2502,2946,3647,4670,4747,3439,1642,517,62,15,18,35,197,542,1901,5448,8317,10407,2,26882
Se03 食道の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,0,0,1,6,11,27,73,140,137,149,151,124,69,17,7,0,0,0,0,1,17,100,277,300,217,1,913
Se04 胃の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,1,4,9,18,21,38,82,156,330,369,528,669,670,495,272,94,8,0,0,5,27,59,238,699,1197,1539,0,3764
Se05 結腸の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,3,8,7,13,25,47,80,206,230,251,375,417,308,206,69,9,0,0,3,15,38,127,436,626,1009,0,2254
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,0,1,5,16,12,27,78,120,141,169,171,138,109,71,17,4,0,0,0,6,28,105,261,340,339,0,1079
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,1,0,2,3,7,24,50,106,239,294,383,521,497,246,107,16,1,0,0,1,5,31,156,533,904,867,0,2497
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,0,0,3,4,8,20,33,82,112,161,242,280,264,127,38,3,0,0,0,3,12,53,194,403,712,0,1377
Se09 膵の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,1,0,2,5,7,29,45,106,232,263,316,377,368,275,105,34,4,0,0,1,7,36,151,495,693,786,0,2169
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,0,2,11,16,48,91,215,486,637,763,998,998,711,270,85,6,0,0,0,13,64,306,1123,1761,2070,0,5337
Se11 乳房の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,3,11,14,31,50,90,114,131,120,110,81,77,73,37,13,2,0,0,3,25,81,204,251,191,202,0,957
Se12 子宮の悪性新生物＜腫瘍＞,2011,2,2011-02-01,0,0,0,0,0,0,11,12,12,28,29,40,49,47,49,50,52,45,20,15,0,0,0,0,23,40,69,96,99,132,0,459
Se13 白血病,2011,2,2011-02-01,2,2,3,2,0,5,7,9,3,12,15,30,56,77,95,99,117,63,24,9,4,4,5,5,16,15,45,133,194,217,0,634
Se14 糖尿病,2011,2,2011-02-01,0,0,0,0,0,0,6,6,7,19,25,47,105,90,131,213,230,222,115,51,9,0,0,0,12,26,72,195,344,627,0,1276
Se15 高血圧性疾患,2011,2,2011-02-01,0,0,0,0,0,0,0,1,1,1,5,8,22,15,39,57,106,138,150,80,24,0,0,0,1,2,13,37,96,498,1,648
Se16 心疾患（高血圧性を除く）,2011,2,2011-02-01,14,3,0,7,11,13,46,67,102,159,233,401,808,929,1353,2176,3201,3688,2763,1419,321,17,7,24,113,261,634,1737,3529,11392,1,17715
Se17 急性心筋梗塞,2011,2,2011-02-01,0,0,0,2,1,1,7,14,26,42,76,137,230,280,393,530,790,764,450,173,32,0,2,2,21,68,213,510,923,2209,0,3948
Se18 その他の虚血性心疾患,2011,2,2011-02-01,0,0,0,0,1,2,9,10,28,43,61,87,230,215,326,536,592,609,371,148,37,0,0,3,19,71,148,445,862,1757,0,3305
Se19 不整脈及び伝導障害,2011,2,2011-02-01,4,0,0,0,5,3,14,16,16,28,32,80,122,149,193,342,471,495,361,159,22,4,0,8,30,44,112,271,535,1508,0,2512
Se20 心不全,2011,2,2011-02-01,0,0,0,3,2,2,12,14,24,28,41,61,151,183,320,566,1027,1415,1327,808,204,0,3,4,26,52,102,334,886,4781,1,6189
Se21 脳血管疾患,2011,2,2011-02-01,1,0,1,2,0,2,11,46,49,124,152,241,432,550,824,1330,2015,2111,1642,761,170,1,3,2,57,173,393,982,2154,6699,1,10465
Se22 くも膜下出血,2011,2,2011-02-01,0,0,0,0,0,2,5,26,22,47,56,74,107,75,114,163,167,138,61,18,3,0,0,2,31,69,130,182,277,387,0,1078
Se23 脳内出血,2011,2,2011-02-01,0,0,1,2,0,0,6,16,26,64,65,125,204,256,305,421,543,481,287,79,18,0,3,0,22,90,190,460,726,1408,0,2899
Se24 脳梗塞,2011,2,2011-02-01,0,0,0,0,0,0,0,4,1,7,24,34,107,204,389,707,1246,1430,1248,639,143,0,0,0,4,8,58,311,1096,4706,1,6184
Se25 大動脈瘤及び解離,2011,2,2011-02-01,0,0,0,0,0,1,1,8,11,16,14,42,75,83,114,223,277,274,150,30,6,0,0,1,9,27,56,158,337,737,0,1325
Se26 肺炎,2011,2,2011-02-01,13,3,1,2,3,3,5,15,19,32,48,101,196,316,598,1256,2169,2460,2097,1018,229,16,3,6,20,51,149,512,1854,7973,3,10587
Se27 慢性閉塞性肺疾患,2011,2,2011-02-01,1,0,0,0,0,0,2,2,0,2,3,11,19,66,83,203,372,309,176,57,11,1,0,0,4,2,14,85,286,925,0,1317
