,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,313,41,38,133,234,300,434,679,910,1228,1857,3593,4993,6834,9081,12891,16367,15290,11226,5435,1195,48
Se01 結核,0,0,0,0,0,0,0,0,1,0,1,6,2,5,14,31,42,30,17,5,0,0
Se02 悪性新生物＜腫瘍＞,15,12,12,13,17,18,66,148,252,411,765,1624,2513,3373,4088,5017,4915,3292,1638,504,59,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,3,11,26,75,135,195,168,160,110,54,34,10,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,1,0,0,2,11,22,27,52,105,235,351,472,601,707,685,498,266,94,14,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,15,17,40,57,102,205,267,309,400,426,304,201,71,5,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,5,16,17,42,69,121,156,170,183,162,111,66,16,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,1,0,2,0,1,8,14,23,61,151,231,327,511,589,466,267,105,22,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,7,7,18,54,74,131,201,227,305,228,113,40,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,2,10,24,63,128,240,320,334,405,341,245,102,31,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,1,3,10,25,49,119,266,467,661,823,1094,1081,633,266,79,10,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,9,25,41,72,73,125,148,123,88,82,79,64,36,13,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,2,3,13,26,20,22,51,53,48,47,57,44,48,19,9,0,0
Se13 白血病,6,6,6,5,5,3,5,6,10,11,18,36,62,94,96,113,107,57,23,6,1,0
Se14 糖尿病,0,0,0,0,0,0,2,4,10,12,27,45,69,97,127,170,233,164,109,29,4,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,0,2,4,6,16,24,20,49,71,111,96,65,10,0
Se16 心疾患（高血圧性を除く）,12,3,1,10,20,23,33,56,104,161,216,445,572,763,1141,1739,2578,2763,2291,1205,236,2
Se17 急性心筋梗塞,0,0,0,1,0,1,3,8,28,56,85,144,198,248,347,465,686,588,373,175,17,0
Se18 その他の虚血性心疾患,0,0,0,3,2,2,4,9,27,36,42,89,128,180,250,358,456,386,280,129,22,0
Se19 不整脈及び伝導障害,2,0,1,1,7,9,7,14,12,16,26,53,69,89,157,228,318,352,306,142,24,1
Se20 心不全,2,2,0,3,5,9,9,11,19,25,35,110,118,169,262,488,824,1108,1103,639,156,0
Se21 脳血管疾患,4,0,3,7,1,6,19,43,66,92,158,280,404,543,830,1332,1920,1968,1528,652,121,1
Se22 くも膜下出血,0,0,3,1,1,3,9,20,32,38,54,84,100,100,107,133,166,96,76,16,4,0
Se23 脳内出血,2,0,0,6,0,3,8,17,26,46,81,145,191,221,295,389,480,443,230,78,14,1
Se24 脳梗塞,0,0,0,0,0,0,1,4,4,6,19,40,104,209,405,773,1232,1388,1188,534,99,0
Se25 大動脈瘤及び解離,0,0,0,0,1,0,3,2,5,8,13,30,54,63,90,176,247,196,110,36,1,1
Se26 肺炎,5,3,1,2,1,3,3,8,14,20,30,67,151,286,574,1027,1915,2174,1887,934,204,1
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,1,3,3,2,2,9,22,42,94,211,381,280,167,48,11,0
Se28 喘息,0,1,0,0,0,2,2,4,3,4,2,7,6,3,14,26,36,25,25,11,2,1
Se29 肝疾患,4,0,0,0,0,1,6,15,44,63,59,125,142,169,170,164,156,100,50,11,3,0
Se30 腎不全,2,0,1,0,0,0,1,2,2,3,11,25,43,71,120,191,334,429,329,139,34,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,68,225,565,816,761,306,1
Se32 不慮の事故,25,9,6,43,42,29,37,60,61,59,97,152,149,229,276,403,432,393,235,106,20,3
Se33 交通事故,4,3,1,34,33,13,14,23,32,22,32,31,46,63,65,70,56,34,10,2,0,0
Se34 自殺,0,0,5,34,124,180,186,238,207,234,245,323,263,265,173,157,106,70,21,1,0,16
