,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,287,38,44,98,256,289,425,638,849,1121,1871,3311,5344,6968,9002,13365,17475,17090,12498,6142,1440,52
Se01 結核,0,0,0,0,0,0,2,0,1,3,2,4,6,9,16,26,40,47,29,7,1,0
Se02 悪性新生物＜腫瘍＞,10,4,12,19,15,37,77,147,234,390,757,1474,2604,3293,3906,5020,5061,3544,1795,581,76,5
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,6,17,33,65,135,162,144,175,141,76,28,7,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,0,5,7,18,26,37,76,189,349,473,558,669,699,570,282,96,15,2
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,3,9,21,32,50,100,193,234,292,367,424,353,234,64,9,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,8,17,14,47,76,119,168,186,164,187,111,63,20,1,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,11,8,27,49,123,236,311,485,639,450,284,95,30,5,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,1,1,8,16,50,97,137,183,243,297,279,157,50,3,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,6,11,29,58,116,263,293,332,448,401,260,104,43,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,20,23,63,109,239,493,681,841,1124,1148,643,334,91,10,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,1,3,7,23,44,55,84,136,160,117,72,92,79,59,43,18,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,12,10,17,21,48,62,48,40,40,53,56,45,17,6,2,0
Se13 白血病,2,1,2,7,4,8,4,6,10,8,18,38,68,72,99,102,101,64,24,6,1,0
Se14 糖尿病,0,0,0,1,1,1,3,6,9,10,19,48,96,100,147,199,247,230,129,32,2,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,5,2,3,10,17,15,25,43,80,104,127,81,24,0
Se16 心疾患（高血圧性を除く）,9,3,4,1,13,15,24,76,93,134,236,406,655,874,1233,1970,2890,3251,2567,1272,295,2
Se17 急性心筋梗塞,0,0,0,0,2,0,7,16,29,38,78,129,205,271,381,536,749,670,425,176,30,1
Se18 その他の虚血性心疾患,0,0,0,0,2,3,5,13,21,30,59,95,175,218,307,433,581,492,312,139,28,1
Se19 不整脈及び伝導障害,0,1,0,0,3,4,4,15,15,22,37,52,83,114,168,258,358,399,325,140,24,0
Se20 心不全,6,0,0,0,4,6,4,20,20,28,45,84,131,193,254,533,890,1291,1256,692,190,0
Se21 脳血管疾患,1,0,1,2,3,7,12,37,72,119,188,305,443,590,797,1356,1948,2122,1527,726,132,1
Se22 くも膜下出血,1,0,1,0,2,7,4,15,36,44,64,87,106,119,106,179,170,153,76,23,4,0
Se23 脳内出血,0,0,0,1,1,0,6,18,27,67,97,157,215,241,300,420,534,473,252,101,14,0
Se24 脳梗塞,0,0,0,0,0,0,1,3,7,7,21,48,109,212,369,720,1197,1440,1168,583,110,1
Se25 大動脈瘤及び解離,0,0,0,2,0,1,1,3,12,19,13,39,69,96,137,201,277,247,133,50,7,0
Se26 肺炎,5,1,0,4,2,3,4,5,17,16,33,89,149,290,540,1074,1992,2406,1977,993,239,0
Se27 慢性閉塞性肺疾患,0,0,0,1,0,0,0,1,0,1,2,4,21,44,107,221,424,310,180,68,15,0
Se28 喘息,1,0,0,0,2,0,1,0,0,1,2,4,3,8,8,20,21,25,37,14,1,0
Se29 肝疾患,0,1,0,0,0,1,3,19,34,55,83,138,161,184,187,180,181,117,45,16,1,0
Se30 腎不全,1,0,0,1,0,0,2,1,6,5,12,21,49,77,136,251,406,454,347,153,36,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,5,23,81,296,693,1104,983,380,0
Se32 不慮の事故,27,8,10,17,50,41,49,49,59,50,72,130,173,246,282,420,517,452,273,121,21,12
Se33 交通事故,5,5,3,12,27,22,21,14,23,15,13,35,34,53,52,67,61,21,5,0,0,0
Se34 自殺,0,0,5,35,135,136,173,196,186,174,226,241,249,180,142,141,104,47,23,7,0,8
